Open Time,Open,High,Low,Close,Volume,Data_Type,Ask Price,Ask Amount,Bid Price,Bid Amount,Current Price,24hr Change
2025-02-13 06:00:00,96666.37000000,96757.50000000,95800.00000000,96056.72000000,1088.55194000,Kline,,,,,96783.35000000,0.084
2025-02-13 07:00:00,96056.72000000,96231.67000000,95901.00000000,96070.23000000,837.45143000,Kline,,,,,96783.35000000,0.084
2025-02-13 08:00:00,96070.23000000,96175.34000000,95649.85000000,95943.62000000,1211.55455000,Kline,,,,,96783.35000000,0.084
2025-02-13 09:00:00,95943.62000000,96297.76000000,95786.20000000,96262.25000000,640.54269000,Kline,,,,,96783.35000000,0.084
2025-02-13 10:00:00,96262.24000000,96336.00000000,96103.14000000,96155.86000000,421.26729000,Kline,,,,,96783.35000000,0.084
2025-02-13 11:00:00,96155.87000000,96288.74000000,95599.57000000,95925.11000000,881.28275000,Kline,,,,,96783.35000000,0.084
2025-02-13 12:00:00,95925.12000000,96069.81000000,95707.02000000,95820.28000000,779.42863000,Kline,,,,,96783.35000000,0.084
2025-02-13 13:00:00,95820.29000000,96301.59000000,95636.79000000,96074.66000000,1318.76591000,Kline,,,,,96783.35000000,0.084
2025-02-13 14:00:00,96074.67000000,96104.49000000,95336.00000000,95857.03000000,1756.05228000,Kline,,,,,96783.35000000,0.084
2025-02-13 15:00:00,95857.03000000,96480.06000000,95519.99000000,95998.00000000,1574.35787000,Kline,,,,,96783.35000000,0.084
2025-02-13 16:00:00,95998.00000000,96002.24000000,95217.36000000,95359.22000000,1167.88640000,Kline,,,,,96783.35000000,0.084
2025-02-13 17:00:00,95359.22000000,96023.58000000,95287.00000000,95692.09000000,825.45363000,Kline,,,,,96783.35000000,0.084
2025-02-13 18:00:00,95692.08000000,95981.20000000,95320.75000000,95964.01000000,845.96591000,Kline,,,,,96783.35000000,0.084
2025-02-13 19:00:00,95964.01000000,96361.58000000,95561.46000000,95627.76000000,850.37150000,Kline,,,,,96783.35000000,0.084
2025-02-13 20:00:00,95627.75000000,96291.95000000,95600.00000000,96264.52000000,680.56341000,Kline,,,,,96783.35000000,0.084
2025-02-13 21:00:00,96264.52000000,96774.71000000,96253.33000000,96488.00000000,718.62221000,Kline,,,,,96783.35000000,0.084
2025-02-13 22:00:00,96487.99000000,96600.00000000,96265.16000000,96411.40000000,330.24155000,Kline,,,,,96783.35000000,0.084
2025-02-13 23:00:00,96411.40000000,96630.00000000,96312.51000000,96608.14000000,408.14428000,Kline,,,,,96783.35000000,0.084
2025-02-14 00:00:00,96608.13000000,96965.51000000,96531.36000000,96750.83000000,427.84311000,Kline,,,,,96783.35000000,0.084
2025-02-14 01:00:00,96750.83000000,96884.62000000,96356.41000000,96529.27000000,463.70552000,Kline,,,,,96783.35000000,0.084
2025-02-14 02:00:00,96529.28000000,96835.30000000,96441.27000000,96528.47000000,459.07477000,Kline,,,,,96783.35000000,0.084
2025-02-14 03:00:00,96528.47000000,97190.00000000,96527.71000000,97129.98000000,455.17130000,Kline,,,,,96783.35000000,0.084
2025-02-14 04:00:00,97129.98000000,97248.60000000,96750.00000000,96750.00000000,434.86356000,Kline,,,,,96783.35000000,0.084
2025-02-14 05:00:00,96750.01000000,96864.00000000,96750.00000000,96783.35000000,74.02226000,Kline,,,,,96783.35000000,0.084
,,,,,,Asks,96783.77000000,0.29684000,,,96783.35000000,0.084
,,,,,,Asks,96784.31000000,0.00006000,,,96783.35000000,0.084
,,,,,,Asks,96784.76000000,0.00006000,,,96783.35000000,0.084
,,,,,,Asks,96784.98000000,0.00017000,,,96783.35000000,0.084
,,,,,,Asks,96785.28000000,0.00012000,,,96783.35000000,0.084
,,,,,,Asks,96785.50000000,0.04136000,,,96783.35000000,0.084
,,,,,,Asks,96785.55000000,0.00006000,,,96783.35000000,0.084
,,,,,,Asks,96785.99000000,0.00006000,,,96783.35000000,0.084
,,,,,,Asks,96786.00000000,0.00006000,,,96783.35000000,0.084
,,,,,,Asks,96786.21000000,0.00048000,,,96783.35000000,0.084
,,,,,,Asks,96786.40000000,0.04136000,,,96783.35000000,0.084
,,,,,,Asks,96787.63000000,0.01183000,,,96783.35000000,0.084
,,,,,,Asks,96788.00000000,0.08816000,,,96783.35000000,0.084
,,,,,,Asks,96788.35000000,0.00306000,,,96783.35000000,0.084
,,,,,,Asks,96788.81000000,0.00006000,,,96783.35000000,0.084
,,,,,,Asks,96789.00000000,0.04130000,,,96783.35000000,0.084
,,,,,,Asks,96789.49000000,0.03620000,,,96783.35000000,0.084
,,,,,,Asks,96790.25000000,0.00076000,,,96783.35000000,0.084
,,,,,,Asks,96790.32000000,0.00011000,,,96783.35000000,0.084
,,,,,,Asks,96790.38000000,0.00007000,,,96783.35000000,0.084
,,,,,,Asks,96790.76000000,0.00011000,,,96783.35000000,0.084
,,,,,,Asks,96791.18000000,0.46088000,,,96783.35000000,0.084
,,,,,,Asks,96791.61000000,0.00007000,,,96783.35000000,0.084
,,,,,,Asks,96791.63000000,0.00006000,,,96783.35000000,0.084
,,,,,,Asks,96791.70000000,0.00025000,,,96783.35000000,0.084
,,,,,,Asks,96792.50000000,0.04130000,,,96783.35000000,0.084
,,,,,,Asks,96792.70000000,0.18128000,,,96783.35000000,0.084
